Posicao;Nota;Nome;Gênero;Duracao;Faixa Etária;Ano
151; 8.2 ;Rebeldia Indomável;Crime,Drama;126;0;1967
152; 8.2 ;Aconteceu Naquela Noite;Comédia,Romance;105;0;1934
153; 8.2 ;Fargo;Crime,Drama,Thriller;98;18;1996
154; 8.2 ;Uma Mente Brilhante;Biografia,Drama;135;12;2001
155; 8.2 ;...E o Vento Levou;Drama,Romance,Guerra;238;0;1939
156; 8.2 ;Trainspotting - Sem Limites;Drama;94;18;1996
157; 8.2 ;Na Natureza Selvagem;Aventura,Biografia,Drama;148;12;2007
158; 8.2 ;Rush: No Limite da Emoção;Ação,Biografia,Drama;123;0;2013
159; 8.2 ;Disque M para Matar;Crime,Thriller;105;16;1954
160; 8.2 ;Relíquia Macabra (O Falcão Maltês);Crime,Drama,Film-Noir;100;12;1941
161; 8.2 ;O Sexto Sentido;Drama,Mistério,Thriller;107;12;1999
162; 8.2 ;Mary e Max: Uma Amizade Diferente;Animação,Comédia,Drama;92;12;2009
163; 8.2 ;O Enigma de Outro Mundo;Horror,Sci-Fi;109;14;1982
164; 8.2 ;Procurando Nemo;Animação,Aventura,Comédia;100;0;2003
165; 8.3 ;O Salário do Medo;Aventura,Drama,Thriller;131;0;1953
166; 8.2 ;Hotel Ruanda;Drama,História,Guerra;121;14;2004
167; 8.1 ;Onde os Fracos não Têm Vez;Crime,Drama,Thriller;122;16;2007
168; 8.4 ;Pinte de Açafrão;Drama;157;0;2006
169; 8.2 ;Incêndios;Drama,Mistério,Guerra;139;0;2010
170; 8.1 ;Kill Bill: Volume 1;Ação;111;18;2003
171; 8.1 ;Platoon;Drama,Guerra;120;14;1986
172; 8.2 ;A Vida de Brian;Comédia;94;18;1979
173; 8.2 ;Butch Cassidy;Biografia,Crime,Western;110;12;1969
174; 8.4 ;Munna Bhai M.B.B.S.;Comédia,Drama;156;0;2003
175; 8.4 ;A Wednesday;Crime,Drama,Mistério;104;0;2008
176; 8.2 ;Rede de Intrigas;Drama;121;0;1976
177; 8.2 ;A Marca da Maldade;Crime,Film-Noir,Thriller;95;0;1958
178; 8.1 ;Sangue Negro;Drama;158;14;2007
179; 8.1 ;12 Anos de Escravidão;Biografia,Drama,História;134;14;2013
180; 8.1 ;Noivo Neurótico, Noiva Nervosa;Comédia,Drama,Romance;93;14;1977
181; 8.1 ;Conta Comigo;Aventura,Drama;89;12;1986
182; 8.2 ;Os Incompreendidos;Crime,Drama;99;0;1959
183; 8.2 ;A Princesa Prometida;Aventura,Comédia,Família;98;0;1987
